File Name,NO.,NAME,Validation Link
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,1,Luis Abram,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8001&row=0&page=2
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,2,Pedro Amador,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8001&row=1&page=2
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,3,Stian Gregersen,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8001&row=2&page=2
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,4,Saba Lobjanidze,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8001&row=3&page=2
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,5,Alexey Miranchuk,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8001&row=4&page=2
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,6,Tristan Muyumba,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8001&row=5&page=2
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,7,Xande Silva,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8001&row=6&page=2
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,8,Bartosz Slisz,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8001&row=7&page=2
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,9,Jamal Thiaré,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8001&row=8&page=2
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,10,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8001&row=9&page=2
