File Name,NO.,NAME,Validation Link
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,1,Rasmus Alm,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8055&row=0&page=28
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,2,Njabulo Blom*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8055&row=1&page=28
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,3,Roman Bürki,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8055&row=2&page=28
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,4,Jake Girdwood-Reich,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8055&row=3&page=28
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,5,Marcel Hartel,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8055&row=4&page=28
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,6,Jannes Horn,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8055&row=5&page=28
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,7,Hosei Kijima,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8055&row=6&page=28
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,8,João Klauss,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8055&row=7&page=28
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,9,Tomas Ostrak*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8055&row=8&page=28
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,10,Selmir Pidro*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8055&row=9&page=28
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,11,Cedric Teuchert,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8055&row=10&page=28
Club Roster Profiles Fall 2024 (as of Sept. 17).pdf,12,Nökkvi Thórisson,https://journaliststudio.google.com/pinpoint-extract/preview?collection=7f5e74ed3d1a45a3&job=3d1ada35f063ac1&docid=228eaff7c2805a82_7f5e74ed3d1a45a3&schid=8055&row=11&page=28
