NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,TYPE
Malte Amundsen,,,2027,,Main
Max Arfsten,,,2024,"2025, 2026",Main
Rudy Camacho,,,2025,,Main
Dylan Chambost,,,2026,2027,Main
Yevhen Cheberko,TAM Player,,June 2026,2026,Main
Mohamed Farsi,,,2027,2028,Main
Cucho Hernández,Designated Player,,2025,2026,Main
Andrés Herrera,TAM Player,Loan Player,June 2025,PT: 2027; 2028,Main
Marino Hinestroza,U22 Initiative,Unavailable - On Loan,2026,2027,Main
DeJuan Jones,TAM Player,,2027,,Main
Derrick Jones,,,2025,2026,Main
Alexandru Matan,U22 Initiative,,2024,,Main
Steven Moreira,TAM Player,,2025,2026,Main
Darlington Nagbe,Designated Player,,2025,2026,Main
Christian Ramírez,,,2024,2025,Main
Diego Rossi,Designated Player,,2026,2027,Main
Yaw Yeboah,TAM Player,,2024,2025,Main
Sean Zawadzki,Homegrown Player,,2027,,Main
Evan Bush,,,2024,,Supplement
Taha Habroune,Homegrown Player,,2027,2028,Supplement
Nicholas Hagen,,,2024,"2025, 2026",Supplement
Aziel Jackson,,,2024,2025,Supplement
Cole Mrowka,Homegrown Player,Unavailable - On Loan,2026,"2027, 2028",Supplement
Abraham Romero,,,2024,2025,Supplement
Jacen Russell-Rowe,Homegrown Player,,2024,"2025, 2026",Supplement
Patrick Schulte,Generation adidas,,2024,2025,Supplement
Keegan Hughes,Homegrown Player,Unavailable - On Loan,2024,"2025, 2026",Supplement31
