NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,TYPE
Eugene Ansah,,,2024,2025,Main
Paul Arriola,TAM Player,,2025,2026,Main
Manuel Cafumana,,Loan Player,June 2025,,Main
Geovane de Jesus,U22 Initiative,,2026,2027,Main
Patrickson Delgado,,Loan Player,2024,,Main
Marco Farfan,,,2025,2026,Main
Jesús Ferreira,Designated Player,,2025,2026,Main
Liam Fraser,,Unavailable - SEI,2024,2025,Main
Sebastien Ibeagha,,,2024,"2025, 2026",Main
Asier Illarramendi,,,2024,,Main
Sam Junqua,,,2024,2025,Main
Bernard Kamungo,,,2025,"2026, 2027",Main
Sebastian Lletget,TAM Player,,2025,2026,Main
Petar Musa,Designated Player,,2027,2028,Main
Maarten Paes,,,2026,"2027, 2028",Main
Paxton Pomykal,TAM Player,Unavailable - SEI,2026,2027,Main
Ruan,,,2024,,Main
Enes Sali,U22 Initiative,,2027,2028,Main
Dante Sealy,,,2024,"2025, 2026",Main
Nkosi Tafari,,,2024,"2025, 2026",Main
Ema Twumasi,,,2024,"2025, 2026",Main
Alan Velasco,Young Designated Player,,2025,2026,Main
Antonio Carrera,Homegrown Player,,2024,"2025, 2026",Supplemental
Herbert Endeley,,,2024,"2025, 2026",Supplemental
Logan Farrington,,,2024,"2025, 2026, 2027",Supplemental
Omar Gonzalez,,,2024,2025,Supplemental
Amet Korça,,,2024,"2025, 2026",Supplemental
Jimmy Maurer,,,2024,,Supplemental
Nolan Norris,Homegrown Player,,2025,"2026, 2027",Supplemental
Tsiki Ntsabeleng,,,2024,2025,Supplemental
Tomas Pondeca,,,2025,"2026, 2027",Supplemental
Carl Sainté,,,2025,"2026, 2027",Supplemental
Isaiah Parker,Generation adidas,Unavailable - On Loan,2024,"2025, 2026",Supplemental31
Malik Henry-Scott,Homegrown Player,,2024,"2025, 2026, 2027",Off
Tarik Scott,Homegrown Player,,2025,"2026, 2027",Off
Alejandro Urzua,Homegrown Player,,2025,"2026, 2027, 2028",Off
