NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,TYPE
Conner Antley,,,2025,2026,Main
Dominique Badji,,,2026,2027,Main
Christian Benteke,Designated Player,,2025,2026,Main
Alex Bono,,,2024,2025,Main
Russell Canouse,,,2024,,Main
Cristian Dájome,,,2024,2025,Main
Boris Enow,TAM Player,,2027,2028,Main
Aaron Herrera,,,2024,"2025, 2026",Main
Mateusz Klich,Designated Player,,2024,2025,Main
Theodore Ku-Dipietro,U22 Initiative,,2027,2028,Main
Christopher McVey,,,2024,2025,Main
Tyler Miller,,,2024,2025,Main
Matti Peltola,Young Designated Player,,2027,2028,Main
Gabriel Pirani,U22 Initiative,,2025,"2026, 2027",Main
Martín Rodríguez,TAM Player,,2024,2025,Main
Pedro Santos,TAM Player,,2024,,Main
David Schnegg,,,2026,2027,Main
Jared Stroud,,,2026,2027,Main
Luis Zamudio,,,2024,2025,Main
Matai Akinmboni,Homegrown Player,,2025,"2026, 2027",Supplemental
Lucas Bartlett,,,2027,2028,Supplemental
Nathan Crockford,,,2024,"2025, 2026, 2027",Supplemental
Kristian Fletcher,Homegrown Player,Unavailable - On Loan,2025,2026,Supplemental
Jeremy Garay,Homegrown Player,,2024,"2025, 2026",Supplemental
Jackson Hopkins,Homegrown Player,,2025,"2026, 2027",Supplemental
Jacob Murrell,,,2026,"2027, 2028",Supplemental
Hayden Sargis,,,2024,"2025, 2026",Supplemental
Garrison Tubbs,Homegrown Player,,2024,"2025, 2026, 2027",Supplemental
