NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,TYPE
Julián Aude,U22 Initiative,,2027,,Main
Miguel Berry,,,2025,2026,Main
Gastón Brugman,TAM Player,,2025,2026,Main
Martín Cáceres,,,2024,2025,Main
Edwin Cerrillo,,,2026,2027,Main
Mark Delgado,TAM Player,,2024,2025,Main
Diego Fagúndez,TAM Player,,2025,2026,Main
Emiro Garces,TAM Player,,2028,,Main
Dejan Joveljic,U22 Initiative,,2025,,Main
John McCarthy,,,2025,,Main
Novak Micovic,,,2026,2027,Main
John Nelson,,,2025,2026,Main
Joseph Paintsil,Designated Player,,2027,,Main
Gabriel Pec,Young Designated Player,,2028,,Main
Riqui Puig,Designated Player,,2027,,Main
Marco Reus,TAM Player,,2026,,Main
Miki Yamane,TAM Player,,2026,,Main
Maya Yoshida,TAM Player,,2024,,Main
Aaron Bibout,,Unavailable - On Loan,2025,"2026, 2027",Supplemental
Mauricio Cuevas,Homegrown Player,,2025,"2026, 2027",Supplemental
Tucker Lepley,,,2024,"2025, 2026, 2027",Supplemental
Jalen Neal,Homegrown Player,,2024,2025,Supplemental
Isaiah Parente,,,2024,"2025, 2026",Supplemental
Ruben Ramos Jr.,Homegrown Player,,2027,2028,Supplemental
Brady Scott,,,2024,"2025, 2026",Supplemental
Gino Vivi,,Unavailable - On Loan,2024,"2025, 2026",Supplemental
Eriq Zavaleta,,,2024,,Supplemental
