NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,TYPE
Nicolás Acevedo,U22 Initiative,Unavailable - On Loan,2025,2026,Main
Thiago Andrade,TAM Player,Unavailable - On Loan,2024,2025,Main
Mounsef Bakrar,TAM Player,,2026,2027,Main
Luis Barraza,,,2024,2025,Main
Julián Fernández,U22 Initiative,,2027,2028,Main
Matt Freese,,,2026,2027,Main
Tayvon Gray,,,2025,2026,Main
Mitja llenic,,,2026,2027,Main
Talles Magno,Young Designated Player,Unavailable - On Loan,2027,,Main
Alonso Martínez,,,2025,"2026, 2027",Main
Thiago Martins,Designated Player,,2025,2026,Main
Jovan Mijatović,U22 Initiative,,2028,2029,Main
Maximiliano Moralez,,,2024,,Main
Agustín Ojeda,U22 Initiative,,2028,2029,Main
Kevin O'Toole,,,2025,2026,Main
Keaton Parks,TAM Player,,2026,"2027, 2028",Main
Andrés Perea,,,2025,2026,Main
Birk Risa,,,2025,2026,Main
Santiago Rodríguez,Designated Player,,2027,,Main
James Sands,TAM Player,,2027,,Main
Strahinja Tanasijević,,,2025,"2026, 2027",Main
Hannes Wolf,TAM Player,,2027,2028,Main
Justin Haak,Homegrown Player,,2025,,Supplemental
Rio Hope-Gund,,,2024,"2025, 2026",Supplemental
Malachi Jones,,,2025,"2026, 2027",Supplemental
Christian McFarlane,Homegrown Player,,2026,2027,Supplemental
Tomás Romero,,,2024,"2025, 2026",Supplemental
Andrew Baiera,Homegrown Player,,2027,2028,Off
Maximo Carrizo,Homegrown Player,,2027,2028,Off
Alex Rando,Homegrown Player,,2024,"2025, 2026, 2027",Off
Jonathan Shore,Homegrown Player,,2027,2028,Off
Zidane Yañez,Homegrown Player,,2028,2029,Off
