NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,TYPE
Cory Burke,,,2024,2025,Main
Felipe Carballo,Designated Player,Loan Player,June 2025,PT: 2027; 2028,Main
Carlos Coronel,,,2024,2025,Main
Ronald Donkor,,,2026,2027,Main
Kyle Duncan,TAM Player,,2025,2026,Main
Daniel Edelman,,,2027,2028,Main
Noah Eile,U22 Initiative,,2027,2028,Main
Emil Forsberg,Designated Player,,2026,2027,Main
Dennis Gjengaar,U22 Initiative,,2027,2028,Main
Cameron Harper,,,2027,2028,Main
Juan José Mina,,Unavailable - On Loan,2026,2027,Main
Elias Manoel,TAM Player,,2025,2026,Main
Ryan Meara,,,2024,2025,Main
Lewis Morgan,TAM Player,,2025,2026,Main
Dylan Nealis,,,2027,2028,Main
Sean Nealis,,,2025,2026,Main
Andrés Reyes,TAM Player,,2026,2027,Main
John Tolkin,,,2027,2028,Main
Dante Vanzeir,Designated Player,,2026,2027,Main
Wikelman Carmona,,,2027,2028,Supplemental
Julian Hall,Homegrown Player,,2026,2027,Supplemental
AJ Marcucci,,Unavailable - On Loan,2025,"2026, 2027",Supplemental
Roald Mitchell,Homegrown Player,,2026,"2027, 2028",Supplemental
Serge Ngoma Jr.,Homegrown Player,,2025,2026,Supplemental
Aidan O'Connor,,,2024,"2025, 2026, 2027",Supplemental
Curtis Ofori,Homegrown Player,,2025,2026,Supplemental
Mohammed Sofo,,,2026,"2027, 2028",Supplemental
Aidan Stokes,Homegrown Player,,2027,2028,Supplemental
Peter Stroud,Homegrown Player,,2025,"2026, 2027",Supplemental
Davi Alexandre,Homegrown Player,Unavailable - On Loan,2026,2027,Supplemental31
