NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,TYPE
Markus Anderson,,,2026,"2027, 2028",Main
Tai Baribo,TAM Player,,2025,2026,Main
Alejandro Bedoya,Player Professional Development Role,,2024,,Main
Jamir Berdecio,,Loan Player,2024,PT: 2027; 2028,Main
Andre Blake,TAM Player,,2026,2027,Main
Jesús Bueno,,,2026,2027,Main
Chris Donovan,,,2025,"2026, 2027",Main
Jack Elliott,TAM Player,,2024,2025,Main
Leon Flach,,,2024,,Main
Dániel Gazdag,Designated Player,,2025,2026,Main
Jakob Glesnes,TAM Player,,2025,2026,Main
Nathan Harriel,Homegrown Player,,2025,"2026, 2027",Main
Danley Jean Jacques,TAM Player,,2026,"2027, 2028",Main
Olwethu Makhanya,U22 Initiative,,2025,"2026, 2027",Main
Olivier Mbaizo,,,2024,2025,Main
Jack McGlynn,,,2025,"2026, 2027",Main
Matt Real,Homegrown Player,Unavailable - On Loan,2024,2025,Main
Oliver Semmle,,,2025,2026,Main
Quinn Sullivan,Homegrown Player,,2024,2025,Main
Joaquin Torres,,Unavailable - On Loan,2024,2025,Main
Mikael Uhre,Designated Player,,2024,2025,Main
Kai Wagner,TAM Player,,2026,2027,Main
Sam Adeniran,,,2024,,Supplemental
Brandan Craig,Homegrown Player,Unavailable - On Loan,2024,2025,Supplemental
Isaiah LeFlore,,,2024,"2025, 2026, 2027",Supplemental
CJ Olney,Homegrown Player,,2028,2029,Supplemental
Nelson Pierre,Homegrown Player,Unavailable - On Loan,2026,2027,Supplemental
Jeremy Rafanello,Homegrown Player,,2024,2025,Supplemental
Andrew Rick,Homegrown Player,,2028,2029,Supplemental
Cavan Sullivan,Homegrown Player,,2028,,Supplemental
Holden Trent,,,2024,"2025, 2026",Supplemental
David Vazquez,Homegrown Player,,2027,2028,Supplemental
Nicholas Pariano,Homegrown Player,Unavailable - On Loan,2025,"2026, 2027",Supplemental31
Nelson Pierre,Homegrown Player,Unavailable - On Loan,2026,2027,Off
