SENIOR ROSTER NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,TYPE
Carlos Akapo,,,2024,,Main
Tanner Beason,,,2024,2025,Main
Ousseni Bouda,,,2024,2025,Main
Vitor Costa,,,2025,2026,Main
Daniel,TAM Player,,2024,2025,Main
Jeremy Ebobisse,TAM Player,,2024,2025,Main
Cristian Espinoza,Designated Player,,2025,2026,Main
Carlos Gruezo,Designated Player,,2025,2026,Main
Benji Kikanovic,,,2025,2026,Main
Hernán López,Designated Player,,2026,"2027, 2028",Main
JT Marcinkowski,,Unavailable - SEI,2024,2025,Main
Paul Marie,,,2026,,Main
Alfredo Morales,,,2024,2025,Main
Amahl Pellegrino,TAM Player,,2025,,Main
Rodrigues,TAM Player,,2025,2026,Main
Jack Skahan,,,2025,2026,Main
Bruno Wilson,TAM Player,,2025,2026,Main
William Yarbrough,,,2024,2025,Main
Jackson Yueill,TAM Player,,2024,,Main
Michael Baldisimo,Homegrown Player,,2024,,Supplemental
Jacob Jackson,,,2024,2025,Supplemental
Preston Judd,,,2024,,Supplemental
Daniel Munie,,,2024,"2025, 2026",Supplemental
Emmanuel Ochoa,Homegrown Player,,2027,"2028, 2029",Supplemental
Will Richmond,Homegrown Player,,2024,2025,Supplemental
Jamar Ricketts,,,2024,"2025, 2026, 2027",Supplemental
Tommy Thompson,Homegrown Player,,2024,2025,Supplemental
Niko Tsakiris,Homegrown Player,,2025,2026,Supplemental
Oscar Verhoeven,Homegrown Player,,2025,"2026, 2027",Supplemental
Casey Walls,Homegrown Player,,2024,,Supplemental
Chance Cowell,Homegrown Player,,2027,2028,Off
Cruz Medina,Homegrown Player,,2026,2027,Off
Edwyn Mendoza,Homegrown Player,,2027,2028,Off
