NAME,ROSTER DESIGNATION,CURRENT STATUS,CONTRACT THRU,OPTION YEARS,TYPE
William Agada,,,2024,2025,Main
Zorhan Bassong,,,2024,"2025, 2026",Main
Joaquin Fernandez,,,2025,,Main
Andreu Fontàs,,,2024,,Main
Tim Leibold,,,2025,2026,Main
Tim Melia,,,2024,,Main
Logan Ndenbe,U22 Initiative,,2024,2025,Main
Alan Pulido,Designated Player,,2026,,Main
John Pulskamp,,,2025,2026,Main
Nemanja Radoja,Designated Player,,2025,2026,Main
Dany Rosero,TAM Player,,2025,2026,Main
Johnny Russell,TAM Player,,2024,,Main
Dániel Sallói,Designated Player,,2026,,Main
Khiry Shelton,,,2025,2026,Main
Erik Thommy,TAM Player,,2024,2025,Main
Robert Voloder,U22 Initiative,,2024,2025,Main
Rémi Walter,TAM Player,,2024,,Main
Stephen Afrifa,,,2024,"2025, 2026",Supplemental
Robert Castellanos,,,2024,2025,Supplemental
Ozzie Cisneros,Homegrown Player,Unavailable - On Loan,2024,2025,Supplemental
Jake Davis,Homegrown Player,,2027,2028,Supplemental
Danny Flores,,,2024,"2025, 2026",Supplemental
Chris Rindov,,,2024,"2025, 2026",Supplemental
Memo Rodríguez,,,2024,2025,Supplemental
Ryan Schewe,,,2024,"2025, 2026, 2027",Supplemental
Alenis Vargas,,,2026,2027,Supplemental
