Player,Jersey #,Position,Roster Category,Player Category,Player Status
M. Akinmboni,45,Defender,Supplemental Slots 25-28,Homegrown,
C. Antley,12,Defender,,,
D. Badji,23,Forward,Senior,,
L. Bartlett,3,Defender,Supplemental Slots 21-24,,
C. Benteke,20,Forward,Senior,Designated Player,
S. Birnbaum,15,Defender,Senior,,
B. Enow,5,Midfielder,,,
K. Fletcher,27,Forward,Supplemental Slots 29-30,Homegrown,
A. Herrera,22,Defender,Senior,Homegrown,
J. Hopkins,25,Midfielder,Supplemental Slots 29-30,Homegrown,
M. Klich,43,Midfielder,Senior,"Designated Player, International",
T. Ku-Dipietro,21,Midfielder,Supplemental Slots 25-28,Homegrown,
J. Murrell,17,Forward,,,
M. Peltola,4,Defender,,,
Gabriel Pirani,10,Midfielder,Senior,U22 Initiative,
D. Schnegg,28,Defender,,,
J. Stroud,8,Midfielder,Supplemental Slots 21-24,,
G. Tubbs,16,Defender,,,
